id,stripe_id,consumed,good_until,charged_at,price_id,subscriber_id,do_not_renew,notify_via_email,notify_via_push,notify_via_sms,status,was_trial,paid_until,subscriber_since,amount_paid_in_cents,application_fee_in_cents,days_in_subscription
1626,,-1,,,4,137,f,t,t,t,6,f,,,0,0,0
75,,-1,,,5,2,f,t,t,t,6,f,,,0,0,0
76,,-1,,,11,2,f,t,t,t,6,f,,,0,0,0
4192,,-1,,,132,2432,f,t,t,t,6,f,,,0,0,0
2,,-1,,,2,7,f,t,t,t,6,f,,,0,0,0
3,,-1,,,2,6,f,t,t,t,6,f,,,0,0,0
4,,-1,,,2,6,f,t,t,t,6,f,,,0,0,0
5,,-1,,,2,6,f,t,t,t,6,f,,,0,0,0
77,,-1,,,3,8,f,t,t,t,6,f,,,0,0,0
7,,-1,,,3,9,f,t,t,t,6,f,,,0,0,0
8,,-1,,,3,9,f,t,t,t,6,f,,,0,0,0
9,,-1,,,2,10,f,t,t,t,6,f,,,0,0,0
10,,-1,,,2,10,f,t,t,t,6,f,,,0,0,0
2155,,-1,,,5,1432,f,t,t,t,6,f,,,0,0,0
6014,,-1,,,207,2,f,t,t,t,6,f,,,0,0,0
12,,-1,,,2,10,f,t,t,t,6,f,,,0,0,0
13,,-1,,,3,12,f,t,t,t,6,f,,,0,0,0
14,,-1,,,3,13,f,t,t,t,6,f,,,0,0,0
2356,,-1,,,26,1339,f,t,t,t,6,f,,,0,0,0
9452,,-1,,,163,7497,f,t,t,t,6,f,,,0,0,0
16,,-1,,,3,6,f,t,t,t,6,f,,,0,0,0
17,,-1,,,3,6,f,t,t,t,6,f,,,0,0,0
18,,-1,,,4,16,f,t,t,t,6,f,,,0,0,0
19,,-1,,,4,6,f,t,t,t,6,f,,,0,0,0
20,,-1,,,3,9,f,t,t,t,6,f,,,0,0,0
21,,-1,,,4,6,f,t,t,t,6,f,,,0,0,0
22,,-1,,,5,17,f,t,t,t,6,f,,,0,0,0
23,,-1,,,5,21,f,t,t,t,6,f,,,0,0,0
2204,,-1,,,18,3,f,t,t,t,6,f,,,0,0,0
2230,,-1,,,26,1468,f,t,t,t,6,f,,,0,0,0
1644,,-1,,,21,896,f,t,t,t,6,f,,,0,0,0
29,,-1,,,11,2,f,t,t,t,6,f,,,0,0,0
